"ComputerName","PSShowComputerName","AvailabilityType","CachingMode","CATimeout","ConcurrentUserLimit","ContinuouslyAvailable","CurrentUsers","Description","EncryptData","FolderEnumerationMode","IdentityRemoting","Infrastructure","LeasingMode","Name","Path","Scoped","ScopeName","SecurityDescriptor","ShadowCopy","ShareState","ShareType","SmbInstance","Special","Temporary","Volume","CimClass","CimInstanceProperties","CimSystemProperties","PSComputerName","RunspaceId"
"WIN10-01","True","0","1","0","0","False","0","Remote Admin","False","1","False","False","0","ADMIN$","C:\Windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{be119b9e-0000-0000-0000-300300000000}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote Admin"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""ADMIN?"" Path = ""C:\Windows"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{be119b9e-0000-0000-0000-3003...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","ecd92684-95d8-4a99-8bc7-9d9430d36d3f"
"WIN10-01","True","0","1","0","0","False","0","Default share","False","1","False","False","0","C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{be119b9e-0000-0000-0000-300300000000}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Default share"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""C?"" Path = ""C:\"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{be119b9e-0000-0000-0000-3003...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","ecd92684-95d8-4a99-8bc7-9d9430d36d3f"
"WIN10-01","True","0","1","0","0","False","0","Remote IPC","False","1","False","False","0","IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","3","0","True","False",,"ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote IPC"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""IPC?"" Path = """" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 3 SmbInstance = 0 Special = True Temporary = False Volume","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","ecd92684-95d8-4a99-8bc7-9d9430d36d3f"
"WIN10-01","True","0","1","0","0","False","0","","False","0","False","False","0","Users","C:\Users","False","*","O:BAG:DUD:(A;OICI;FA;;;BA)(A;OICI;FA;;;WD)","False","1","0","0","False","False","\\?\Volume{be119b9e-0000-0000-0000-300300000000}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = """" EncryptData = False FolderEnumerationMode = 0 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""Users"" Path = ""C:\Users"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:BAG:DUD:(A;OICI;FA;;;BA)(A;OICI;FA;;;... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = False Temporary = False Volume = ""\\?\Volume{be119b9e-0000-0000-0000-3003...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","ecd92684-95d8-4a99-8bc7-9d9430d36d3f"
"WIN10-02","True","0","1","0","0","False","0","Remote Admin","False","1","False","False","0","ADMIN$","C:\Windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{3a501f9f-0000-0000-0000-300300000000}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote Admin"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""ADMIN?"" Path = ""C:\Windows"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{3a501f9f-0000-0000-0000-3003...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","8a5339e8-a449-4b05-81a6-529ed0d6d542"
"WIN10-02","True","0","1","0","0","False","0","Default share","False","1","False","False","0","C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{3a501f9f-0000-0000-0000-300300000000}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Default share"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""C?"" Path = ""C:\"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{3a501f9f-0000-0000-0000-3003...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","8a5339e8-a449-4b05-81a6-529ed0d6d542"
"WIN10-02","True","0","1","0","0","False","0","Remote IPC","False","1","False","False","0","IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","3","0","True","False",,"ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote IPC"" EncryptData = False FolderEnumerationMode = 1 IdentityRemoting = False Infrastructure = False LeasingMode = 0 Name = ""IPC?"" Path = """" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 3 SmbInstance = 0 Special = True Temporary = False Volume","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","8a5339e8-a449-4b05-81a6-529ed0d6d542"
"WIN81-01","True","0","1","0","0","False","0","Remote Admin","False","1",,,,"ADMIN$","C:\Windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{007a461f-726c-11eb-824f-806e6f6e6963}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote Admin"" EncryptData = False FolderEnumerationMode = 1 Name = ""ADMIN?"" Path = ""C:\Windows"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{007a461f-726c-11eb-824f-806e...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","1fb86433-bf90-4648-afc6-ecf3c45a8941"
"WIN81-01","True","0","1","0","0","False","0","Default share","False","1",,,,"C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","0","0","True","False","\\?\Volume{007a461f-726c-11eb-824f-806e6f6e6963}\","ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Default share"" EncryptData = False FolderEnumerationMode = 1 Name = ""C?"" Path = ""C:\"" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 0 SmbInstance = 0 Special = True Temporary = False Volume = ""\\?\Volume{007a461f-726c-11eb-824f-806e...","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","1fb86433-bf90-4648-afc6-ecf3c45a8941"
"WIN81-01","True","0","1","0","0","False","0","Remote IPC","False","1",,,,"IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","1","3","0","True","False",,"ROOT/Microsoft/Windows/SMB:MSFT_SmbShare","AvailabilityType = 0 CachingMode = 1 CATimeout = 0 ConcurrentUserLimit = 0 ContinuouslyAvailable = False CurrentUsers = 0 Description = ""Remote IPC"" EncryptData = False FolderEnumerationMode = 1 Name = ""IPC?"" Path = """" Scoped = False ScopeName = ""*"" SecurityDescriptor = ""O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;G... ShadowCopy = False ShareState = 1 ShareType = 3 SmbInstance = 0 Special = True Temporary = False Volume","Microsoft.Management.Infrastructure.CimSystemProperties","localhost","1fb86433-bf90-4648-afc6-ecf3c45a8941"
