"PSComputerName","Name","ProcessId","ParentProcessId","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate","Description"
"MEGATRON","System Idle Process","0","0",,"4096","0","0","2",,"System Idle Process"
"MEGATRON","System","4","0",,"266240","4","788","99",,"System"
"MEGATRON","smss","244","4",,"1073152","244","52","2",,"smss.exe"
"MEGATRON","csrss","420","408",,"4030464","420","281","8",,"csrss.exe"
"MEGATRON","csrss","484","476",,"3866624","484","100","10",,"csrss.exe"
"MEGATRON","wininit","492","408","C:\Windows\system32\wininit.exe","4055040","492","78","1",,"wininit.exe"
"MEGATRON","services","536","492",,"7745536","536","310","6",,"services.exe"
"MEGATRON","winlogon","560","476","C:\Windows\system32\winlogon.exe","5976064","560","120","2",,"winlogon.exe"
"MEGATRON","lsass","580","492","C:\Windows\system32\lsass.exe","61472768","580","1527","32",,"lsass.exe"
"MEGATRON","svchost","732","536","C:\Windows\system32\svchost.exe","9678848","732","353","8",,"svchost.exe"
"MEGATRON","svchost","776","536","C:\Windows\system32\svchost.exe","6967296","776","399","6",,"svchost.exe"
"MEGATRON","LogonUI","860","560","C:\Windows\system32\LogonUI.exe","38371328","860","335","8",,"LogonUI.exe"
"MEGATRON","dwm","892","560","C:\Windows\system32\dwm.exe","47833088","892","180","7",,"dwm.exe"
"MEGATRON","svchost","900","536","C:\Windows\System32\svchost.exe","19501056","900","654","19",,"svchost.exe"
"MEGATRON","svchost","928","536","C:\Windows\system32\svchost.exe","19222528","928","597","19",,"svchost.exe"
"MEGATRON","svchost","956","536","C:\Windows\system32\svchost.exe","50282496","956","1541","41",,"svchost.exe"
"MEGATRON","svchost","228","536","C:\Windows\system32\svchost.exe","11685888","228","468","16",,"svchost.exe"
"MEGATRON","svchost","384","536","C:\Windows\system32\svchost.exe","11923456","384","359","17",,"svchost.exe"
"MEGATRON","svchost","668","536","C:\Windows\system32\svchost.exe","9822208","668","242","5",,"svchost.exe"
"MEGATRON","rundll32","1140","956","C:\Windows\system32\rundll32.exe","11497472","1140","223","5",,"rundll32.exe"
"MEGATRON","svchost","1244","536","C:\Windows\system32\svchost.exe","13910016","1244","392","18",,"svchost.exe"
"MEGATRON","spoolsv","1492","536","C:\Windows\System32\spoolsv.exe","10031104","1492","367","11",,"spoolsv.exe"
"MEGATRON","armsvc","1520","536","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","4255744","1520","84","3",,"armsvc.exe"
"MEGATRON","Microsoft","1536","536","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","56877056","1536","340","10",,"Microsoft.ActiveDirectory.WebServices.exe"
"MEGATRON","mDNSResponder","1572","536","C:\Program Files (x86)\Bonjour\mDNSResponder.exe","5419008","1572","127","3",,"mDNSResponder.exe"
"MEGATRON","svchost","1596","536","C:\Windows\system32\svchost.exe","5840896","1596","106","3",,"svchost.exe"
"MEGATRON","dfsrs","1616","536","C:\Windows\system32\DFSRs.exe","20099072","1616","330","16",,"dfsrs.exe"
"MEGATRON","svchost","1652","536","C:\Windows\system32\svchost.exe","28004352","1652","269","18",,"svchost.exe"
"MEGATRON","svchost","1672","536","C:\Windows\System32\svchost.exe","7450624","1672","164","9",,"svchost.exe"
"MEGATRON","dns","1688","536","C:\Windows\system32\dns.exe","53800960","1688","5311","15",,"dns.exe"
"MEGATRON","ismserv","1724","536","C:\Windows\System32\ismserv.exe","4943872","1724","97","8",,"ismserv.exe"
"MEGATRON","svchost","1900","536","C:\Windows\system32\svchost.exe","15749120","1900","282","16",,"svchost.exe"
"MEGATRON","svchost","1944","536","C:\Windows\System32\svchost.exe","26058752","1944","267","14",,"svchost.exe"
"MEGATRON","synergyd","1964","536","C:\Program Files\Synergy\synergyd.exe","4857856","1964","154","8",,"synergyd.exe"
"MEGATRON","Sysmon","2008","536","C:\Windows\Sysmon.exe","15495168","2008","340","9",,"Sysmon.exe"
"MEGATRON","synergyc","2140","1964","C:\Program Files\Synergy\synergyc.exe","7880704","2140","160","4",,"synergyc.exe"
"MEGATRON","conhost","2148","2140","C:\Windows\system32\conhost.exe","3428352","2148","48","1",,"conhost.exe"
"MEGATRON","winlogbeat","2544","536","C:\Program Files\Winlogbeat\winlogbeat.exe","16101376","2544","299","24",,"winlogbeat.exe"
"MEGATRON","dfssvc","2604","536","C:\Windows\system32\dfssvc.exe","4378624","2604","127","12",,"dfssvc.exe"
"MEGATRON","vmms","2684","536","C:\Windows\system32\vmms.exe","25059328","2684","660","13",,"vmms.exe"
"MEGATRON","unsecapp","2936","732","C:\Windows\system32\wbem\unsecapp.exe","4624384","2936","91","2",,"unsecapp.exe"
"MEGATRON","nfssvc","1372","536","C:\Windows\system32\nfssvc.exe","5378048","1372","95","8",,"nfssvc.exe"
"MEGATRON","vds","276","536","C:\Windows\System32\vds.exe","9048064","276","179","12",,"vds.exe"
"MEGATRON","SyncShareTTSvc","3096","536","C:\Windows\System32\SyncShareTTSvc.exe","5201920","3096","112","4",,"SyncShareTTSvc.exe"
"MEGATRON","svchost","3120","536","C:\Windows\System32\svchost.exe","8753152","3120","410","21",,"svchost.exe"
"MEGATRON","svchost","3180","536","C:\Windows\system32\svchost.exe","4747264","3180","112","4",,"svchost.exe"
"MEGATRON","msdtc","1052","536","C:\Windows\System32\msdtc.exe","7299072","1052","165","10",,"msdtc.exe"
"MEGATRON","GoogleUpdate","1708","3820","C:\Program Files (x86)\Google\Update\GoogleUpdate.exe","2699264","1708","149","3",,"GoogleUpdate.exe"
"MEGATRON","SearchIndexer","2416","536","C:\Windows\system32\SearchIndexer.exe","12660736","2416","641","11",,"SearchIndexer.exe"
"MEGATRON","WmiPrvSE","3076","732","C:\Windows\system32\wbem\wmiprvse.exe","11173888","3076","178","9",,"WmiPrvSE.exe"
"MEGATRON","SearchProtocolHost","2644","2416","C:\Windows\system32\SearchProtocolHost.exe","7774208","2644","311","6",,"SearchProtocolHost.exe"
"MEGATRON","SearchFilterHost","3352","2416","C:\Windows\system32\SearchFilterHost.exe","4513792","3352","109","4",,"SearchFilterHost.exe"
"MEGATRON","wsmprovhost","4020","732","C:\Windows\system32\wsmprovhost.exe","69693440","4020","411","10",,"wsmprovhost.exe"
