"PSComputerName","Name","Location","Command","User"
"PHOENIX","NordVPN","HKU\S-1-5-21-2030441869-2124514218-3747077761-1104\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files (x86)\NordVPN\NordVPN.exe","KOMNICK\Dan"
"PHOENIX","AnyDVD","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files (x86)\SlySoft\AnyDVD\AnyDVDtray.exe","KOMNICK\danny"
"PHOENIX","Windscribe","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files (x86)\Windscribe\Windscribe.exe"" -os_restart","KOMNICK\danny"
"PHOENIX","uTorrent","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","%APPDATA%\uTorrent\uTorrent.exe","KOMNICK\danny"
"PHOENIX","NordVPN","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files (x86)\NordVPN\NordVPN.exe","KOMNICK\danny"
"PHOENIX","SandboxieControl","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\Sandboxie\SbieCtrl.exe""","KOMNICK\danny"
"PHOENIX","GoogleDriveFS","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\Google\Drive File Stream\35.0.13.0\GoogleDriveFS.exe""","KOMNICK\danny"
"PHOENIX","Gadwin PrintScreen","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files (x86)\Gadwin Systems\PrintScreen\PrintScreen.exe"" /nosplash","KOMNICK\danny"
"PHOENIX","GoogleDriveSync","HKU\S-1-5-21-2030441869-2124514218-3747077761-1155\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\Google\Drive\googledrivesync.exe"" /autostart","KOMNICK\danny"
"PHOENIX","ActivClient Agent","Common Startup","C:\PROGRA~1\ACTIVI~1\ACTIVC~1\acsagent.exe ","Public"
"PHOENIX","XboxStat","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\Microsoft Xbox 360 Accessories\XboxStat.exe"" silentrun","Public"
"PHOENIX","Launch LCore","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","C:\Program Files\Logitech Gaming Software\LCore.exe /minimized","Public"
"PHOENIX","WindowsDefender","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""%ProgramFiles%\Windows Defender\MSASCuiL.exe""","Public"
"PHOENIX","acevents","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\ActivIdentity\ActivClient\acevents.exe""","Public"
"PHOENIX","","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","","Public"
"PHOENIX","accrdsub","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","""C:\Program Files\ActivIdentity\ActivClient\accrdsub.exe""","Public"
