"PSComputerName","UserName","Name","VariableValue"
"2012DATA-DC1","<SYSTEM>","FP_NO_HOST_CHECK","NO"
"2012DATA-DC1","<SYSTEM>","USERNAME","SYSTEM"
"2012DATA-DC1","<SYSTEM>","Path","%SystemRoot%\system32;%SystemRoot%;%SystemRoot%\System32\Wbem;%SYSTEMROOT%\System32\WindowsPowerShell\v1.0\"
"2012DATA-DC1","<SYSTEM>","ComSpec","%SystemRoot%\system32\cmd.exe"
"2012DATA-DC1","<SYSTEM>","TMP","%SystemRoot%\TEMP"
"2012DATA-DC1","<SYSTEM>","OS","Windows_NT"
"2012DATA-DC1","<SYSTEM>","windir","%SystemRoot%"
"2012DATA-DC1","<SYSTEM>","PROCESSOR_ARCHITECTURE","AMD64"
"2012DATA-DC1","<SYSTEM>","TEMP","%SystemRoot%\TEMP"
"2012DATA-DC1","<SYSTEM>","PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC"
"2012DATA-DC1","<SYSTEM>","PSModulePath","%SystemRoot%\system32\WindowsPowerShell\v1.0\Modules\"
"2012DATA-DC1","<SYSTEM>","NUMBER_OF_PROCESSORS","1"
"2012DATA-DC1","<SYSTEM>","PROCESSOR_LEVEL","6"
"2012DATA-DC1","<SYSTEM>","PROCESSOR_IDENTIFIER","Intel64 Family 6 Model 42 Stepping 7, GenuineIntel"
"2012DATA-DC1","<SYSTEM>","PROCESSOR_REVISION","2a07"
"2012DATA-DC1","NT AUTHORITY\SYSTEM","TMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","NT AUTHORITY\SYSTEM","TEMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","NT AUTHORITY\LOCAL SERVICE","TMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","NT AUTHORITY\LOCAL SERVICE","TEMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","NT AUTHORITY\NETWORK SERVICE","TMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","NT AUTHORITY\NETWORK SERVICE","TEMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","CONTOSO\komnick","TMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","CONTOSO\komnick","TEMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","CONTOSO\Administrator","TMP","%USERPROFILE%\AppData\Local\Temp"
"2012DATA-DC1","CONTOSO\Administrator","TEMP","%USERPROFILE%\AppData\Local\Temp"
