"Name","OperatingSystem","CanonicalName","IPv4Address","MACAddress","Port Scan","Notes"
"DC01","Windows Server 2012 R2 Standard","/Domain Controllers","10.10.10.1","No MAC Available","135,139,3389,389,445,49152,49153,49154,49155,49157,53,80,88","[query] No Notes Available"
"WSUS","Windows Server 2012 R2 Datacenter","/Servers/Administrative","10.10.10.23","No MAC Available",,"No Notes Available"
"APP","Windows Server 2012 R2 Datacenter","/Servers/Administrative","10.10.10.22","No MAC Available",,"No Notes Available"
"DC2","Windows Server 2012 R2 Datacenter","/Domain Controllers","10.10.10.21","No MAC Available",,"No Notes Available"
"WIN81-01","Windows 8.1 Pro","/US Branch/Guest","10.10.10.1","No MAC Available","135,139,3389,445,49152,49153,49154,49155,49156,49157,5357","[query] No Notes Available
22"
"WIN81-03","Windows 8.1 Pro","/US Branch/Guest","10.10.10.1","No MAC Available",,"[query] No Notes Available"
"WIN81-02","Windows 8.1 Pro","/US Branch/Guest","10.10.10.1","No MAC Available",,"[query] No Notes Available"
"WIN81-04","Windows 8.1 Pro","/US Branch/Guest","10.10.10.1","No MAC Available",,"[query] No Notes Available"
"FILE","Windows Server 2012 R2 Datacenter","/Servers/Business","10.10.10.101","No MAC Available","135,139,3389,445,49153,49154,49156","[Un-Quarantined] at 10/21/2020 10:46:01
[Quarantined] at 10/21/2020 10:44:16 -- Accessible from 10.10.10.102
[query]No Notes Available"
"Win81-07","Windows 8.1 Pro","/US Branch/Employee","10.10.10.109","No MAC Available",,"No Notes Available"
"Win81-08","Windows 8.1 Pro","/US Branch/Employee","10.10.10.110","No MAC Available",,"No Notes Available"
"WIN81-05A","Windows 8.1 Pro","/US Branch/Employee","No IP Available","No MAC Available",,"No Notes Available"
"WIN81-10","Windows 8.1 Pro","/US Branch/Employee","10.10.10.116","No MAC Available",,"No Notes Available"
"WIN2019-01","Windows Server 2019 Standard Evaluation","/Servers","10.10.10.115","No MAC Available",,"No Notes Available"
"WIN81-09","Windows 8.1 Pro","/US Branch/Employee","10.10.10.111","No MAC Available",,"No Notes Available"
"WIN81-06","Windows 8.1 Pro","/US Branch/Employee","No IP Available","No MAC Available",,"No Notes Available"
"WIN81-05","Windows 8.1 Pro","/US Branch/Guest","10.10.10.113","No MAC Available",,"No Notes Available"
"WINXP-01","Windows XP Professional","/Europe Branch/Remote Support","10.10.10.105","No MAC Available",,"No Notes Available"
"192.168.68.122","Manually Added",,"No IP Available","No MAC Available",,"No Notes Available"
"localhost","Manually Added",,"No IP Available","No MAC Available",,"No Notes Available"
"127.0.0.1","Manually Added",,"No IP Available","No MAC Available",,"No Notes Available"
