"Name","SID","Enabled","LockedOut","Created","Modified","LastLogonDate","LastBadPasswordAttempt","BadLogonCount","PasswordLastSet","PasswordExpired","PasswordNeverExpires","PasswordNotRequired","CanonicalName","MemberOf","SmartCardLogonRequired","ScriptPath","HomeDrive","PSComputerName","RunspaceId","PSShowComputerName"
"Guest","S-1-5-21-3036625279-3127291219-2495432101-501","False","False","1/28/2020 7:53:25 PM","6/28/2020 11:12:29 PM",,,,,"False","True","True","MobileLab.home/Users/Guest","CN=Guests,CN=Builtin,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"krbtgt","S-1-5-21-3036625279-3127291219-2495432101-502","False","False","1/28/2020 7:55:07 PM","6/28/2020 11:12:29 PM",,,,"1/28/2020 7:55:07 PM","True","False","False","MobileLab.home/Users/krbtgt","CN=Denied RODC Password Replication Group,CN=Users,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"Administrator","S-1-5-21-3036625279-3127291219-2495432101-500","True","False","1/28/2020 7:53:25 PM","5/16/2021 1:46:24 PM","5/16/2021 1:46:24 PM","5/5/2021 1:51:13 PM","0","1/21/2020 1:29:02 AM","False","True","False","MobileLab.home/Users/Administrator","CN=WMI Users,CN=Users,DC=MobileLab,DC=home CN=RDS Remote Access Servers,CN=Builtin,DC=MobileLab,DC=home CN=Remote Desktop Users,CN=Builtin,DC=MobileLab,DC=home CN=Remote Management Users,CN=Builtin,DC=MobileLab,DC=home CN=Group Policy Creator Owners,CN=Users,DC=MobileLab,DC=home CN=Enterprise Admins,CN=Users,DC=MobileLab,DC=home CN=Schema Admins,CN=Users,DC=MobileLab,DC=home CN=Domain Admins,CN=Users,DC=MobileLab,DC=home CN=Administrators,CN=Builtin,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"admin","S-1-5-21-3036625279-3127291219-2495432101-1135","True","False","4/15/2020 5:10:02 PM","5/17/2021 12:37:12 AM","3/23/2021 12:17:19 AM",,,"4/15/2020 5:10:02 PM","False","True","False","MobileLab.home/East Coast Employees/admin","CN=Message Capture Users,CN=Users,DC=MobileLab,DC=home CN=Performance Log Users,CN=Builtin,DC=MobileLab,DC=home CN=Administrators,CN=Builtin,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"user","S-1-5-21-3036625279-3127291219-2495432101-1134","True","False","4/15/2020 5:01:43 PM","5/17/2021 12:36:51 AM","5/7/2021 12:23:03 AM",,,"4/15/2020 5:01:43 PM","False","True","False","MobileLab.home/West Coast Employees/user","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"Dan","S-1-5-21-3036625279-3127291219-2495432101-1117","True","False","1/29/2020 7:54:03 PM","5/17/2021 12:37:12 AM","5/4/2021 7:48:09 PM","4/12/2021 4:21:50 PM","0","3/23/2021 12:18:40 AM","False","True","False","MobileLab.home/East Coast Employees/Dan","CN=Remote Desktop Users,CN=Builtin,DC=MobileLab,DC=home CN=Domain Admins,CN=Users,DC=MobileLab,DC=home CN=Users,CN=Builtin,DC=MobileLab,DC=home CN=Administrators,CN=Builtin,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"test002","S-1-5-21-3036625279-3127291219-2495432101-1393","False","False","6/6/2020 7:44:49 PM","5/17/2021 12:36:51 AM",,,,,"True","False","False","MobileLab.home/West Coast Employees/test002","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"test001","S-1-5-21-3036625279-3127291219-2495432101-1392","False","False","6/6/2020 7:44:46 PM","5/17/2021 12:36:51 AM",,,,,"True","False","False","MobileLab.home/West Coast Employees/test001","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"SmartCardAccount","S-1-5-21-3036625279-3127291219-2495432101-2613","True","False","2/22/2021 2:34:11 AM","5/17/2021 12:36:51 AM",,,"0",,"False","False","False","MobileLab.home/West Coast Employees/SmartCardAccount","","True",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"BadLoginAccount","S-1-5-21-3036625279-3127291219-2495432101-2614","True","False","2/22/2021 2:36:16 AM","5/17/2021 12:37:12 AM","2/22/2021 2:38:00 AM","2/22/2021 2:37:57 AM","0","2/22/2021 2:36:16 AM","False","True","False","MobileLab.home/East Coast Employees/BadLoginAccount","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"LockedOne","S-1-5-21-3036625279-3127291219-2495432101-2615","False","False","2/22/2021 2:38:43 AM","5/17/2021 12:37:12 AM",,,"0",,"True","False","False","MobileLab.home/East Coast Employees/LockedOne","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"LockedTwo","S-1-5-21-3036625279-3127291219-2495432101-2616","False","False","2/22/2021 2:39:18 AM","5/17/2021 12:36:51 AM",,,"0",,"True","False","False","MobileLab.home/West Coast Employees/LockedTwo","","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
"danny","S-1-5-21-3036625279-3127291219-2495432101-2617","True","False","3/23/2021 12:15:43 AM","5/17/2021 12:37:12 AM","4/4/2021 12:55:13 AM",,"0","3/23/2021 12:15:43 AM","False","True","False","MobileLab.home/East Coast Employees/danny","CN=Domain Admins,CN=Users,DC=MobileLab,DC=home","False",,,"dc01","23303854-46af-407b-9f71-09ab4f0cfd49","True"
